	Music	Slow songs or fast songs	Dance	Folk	Country	Classical music	Musical	Pop	Rock	Metal or Hardrock	Punk	Hiphop, Rap	Reggae, Ska	Swing, Jazz	Rock n roll	Alternative	Latino	Techno, Trance	Opera	Movies	Horror	Thriller	Comedy	Romantic	Sci-fi	War	Fantasy/Fairy tales	Animated	Documentary	Western	Action	History	Psychology	Politics	Mathematics	Physics	Internet	PC	Economy Management	Biology	Chemistry	Reading	Geography	Foreign languages	Medicine	Law	Cars	Art exhibitions	Religion	Countryside, outdoors	Dancing	Musical instruments	Writing	Passive sport	Active sport	Gardening	Celebrities	Shopping	Science and technology	Theatre	Fun with friends	Adrenaline sports	Pets	Flying	Storm	Darkness	Heights	Spiders	Snakes	Rats	Ageing	Dangerous dogs	Fear of public speaking	Healthy eating	Daily events	Prioritising workload	Writing notes	Workaholism	Thinking ahead	Final judgement	Reliability	Keeping promises	Loss of interest	Friends versus money	Funniness	Fake	Criminal damage	Decision making	Elections	Self-criticism	Judgment calls	Hypochondria	Eating to survive	Giving	Compassion to animals	Borrowed stuff	Loneliness	Cheating in school	Health	Changing the past	God	Dreams	Charity	Number of friends	Waiting	New environment	Mood swings	Appearence and gestures	Socializing	Achievements	Responding to a serious letter	Children	Assertiveness	Getting angry	Knowing the right people	Public speaking	Unpopularity	Life struggles	Happiness in life	Energy levels	Small - big dogs	Personality	Finding lost valuables	Getting up	Interests or hobbies	Parents' advice	Questionnaires or polls	Finances	Shopping centres	Branded clothing	Entertainment spending	Spending on looks	Spending on gadgets	Spending on healthy eating	Age	Height	Weight	Number of siblings	Gender_female	Gender_male	Left_right_handed_left handed	Left_right_handed_right handed	Only_child_no	Only_child_yes	Village_town_city	Village_town_village	House_block_of_flats_block of flats	House_block_of_flats_house/bungalow	Smoking	Alcohol	Punctuality	Lying	Internet_usage	Education
47	5.0	3.0	3.0	1.0	1.0	2.0	3.0	4.0	4.0	2.0	2.0	1.0	3.0	3.0	3.1412825651302607	4.0	3.0	2.0	3.0	5.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	5.0	2.0	1.0	5.0	2.0	3.0	1.0	2.0	1.0	5.0	3.0	4.0	2.0	1.0	5.0	3.0	5.0	3.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	4.0	2.0	4.0	5.0	2.0	5.0	1.0	2.0	1.0	3.0	1.0	3.0	5.0	3.0	4.0	4.0	3.0	3.0	4.0	5.0	3.0	3.0	1.0	4.0	4.0	2.0	5.0	3.0	2.0	1.0	3.0	2.0	3.0	3.0	1.0	2.0	4.0	2.0	2.0	2.0	4.0	5.0	2.0	2.0	3.0	1.0	4.0	1.0	2.0	4.0	4.0	2.0	4.0	3.0	3.0	5.0	5.0	4.0	5.0	3.0	2.0	4.0	4.0	1.0	4.0	2.0	3.0	3.0	3.0	1.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	2.333333333333333	1.9708737864077683	1.693374422187981	1.4	1	0	0	1	0	1	1	0	0	1	2.0	2.0	2.0	2.0	2.0	3.0
61	5.0	3.0	5.0	1.0	2.0	4.0	3.0	4.0	4.0	1.0	2.0	3.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	5.0	3.0	4.0	5.0	5.0	5.0	3.0	4.0	4.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	4.0	5.0	4.0	4.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	4.0	3.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	2.0	3.0	3.0	3.0	5.0	2.0	5.0	1.0	1.0	1.0	3.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	2.0	4.0	3.0	3.0	4.0	1.0	4.0	3.0	1.0	3.0	3.0	1.0	5.0	3.0	5.0	4.0	5.0	3.0	1.0	3.0	5.0	3.0	4.0	5.0	5.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	5.0	1.0	4.0	4.0	3.0	3.0	1.0	3.0	2.0	4.0	3.0	4.0	2.0	2.0	5.0	5.0	4.0	4.0	4.0	5.0	3.666666666666666	1.3640776699029118	1.3852080123266557	1.4	0	1	1	0	1	0	1	0	1	0	4.0	2.0	2.0	3.0	2.0	3.0
609	5.0	4.0	3.0	2.0	2.0	3.0	2.0	4.0	5.0	4.0	2.0	2.0	2.0	4.0	5.0	4.0	2.0	3.0	2.0	4.0	3.0	3.0	5.0	4.0	5.0	3.0	3.0	4.0	4.0	3.0	4.0	2.0	2.0	3.0	2.0	2.0	5.0	5.0	2.0	5.0	5.0	2.0	1.0	5.0	5.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	3.0	1.0	4.0	2.0	4.0	1.0	5.0	1.0	1.0	3.0	1.0	2.0	3.0	5.0	2.0	2.0	4.0	3.0	4.0	2.0	5.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0	4.0	5.0	4.0	1.0	4.0	5.0	5.0	5.0	4.0	1.0	1.0	2.0	5.0	4.0	3.0	4.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	4.0	4.0	1.0	2.0	3.0	3.0	3.0	3.0	5.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.666666666666666	3.548543689320386	3.4653312788905977	1.4	0	1	0	1	1	0	1	0	1	0	1.0	2.0	2.0	2.0	2.0	1.0
475	5.0	3.0	3.0	2.0	5.0	4.0	5.0	3.0	5.0	4.0	4.0	3.0	4.0	3.0	5.0	3.0	4.0	1.0	2.0	4.0	4.0	3.0	5.0	5.0	2.0	3.0	5.0	5.0	3.0	1.0	2.0	4.0	5.0	3.0	3.0	2.0	4.0	2.0	2.0	3.0	2.0	5.0	3.0	3.0	2.0	3.0	1.0	2.0	2.0	4.0	2.0	5.0	3.0	3.0	3.0	1.0	4.0	2.0	2.0	3.0	5.0	2.0	5.0	2.0	3.0	5.0	1.0	1.0	4.0	3.0	1.0	2.0	3.0	2.0	3.0	1.0	2.0	2.0	3.0	3.0	2.0	4.0	2.0	4.0	5.0	2.0	1.0	2.0	5.0	4.0	4.0	2.0	2.0	2.0	5.0	4.0	3.0	5.0	3.0	2.0	5.0	3.0	2.0	5.0	3.0	2.0	3.0	2.0	1.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	5.0	3.0	2.0	1.0	2.0	2.0	5.0	2.0	1.0	3.0	2.0	2.2135922330097095	1.693374422187981	2.6	1	0	0	1	1	0	1	0	1	0	4.0	3.0	1.0	2.0	2.0	3.0
906	5.0	4.0	2.0	1.0	1.0	3.0	4.0	4.0	5.0	1.0	1.0	4.0	4.0	5.0	5.0	5.0	4.0	1.0	2.0	5.0	1.0	4.0	5.0	5.0	2.0	4.0	5.0	5.0	5.0	2.0	5.0	5.0	3.0	4.0	4.0	2.0	5.0	3.0	5.0	2.0	1.0	5.0	3.0	5.0	3.0	4.0	4.0	5.0	2.0	2.0	1.0	4.0	1.0	5.0	2.0	5.0	4.0	5.0	3.0	5.0	5.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	5.0	3.0	5.0	4.0	2.0	4.0	5.0	3.0	4.0	3.0	5.0	4.0	5.0	4.0	5.0	4.0	3.0	2.0	1.0	2.0	4.0	5.0	4.0	1.0	2.0	4.0	2.0	5.0	2.0	4.0	3.0	3.0	4.0	4.0	1.0	4.0	2.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	5.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	4.0	2.0	2.0	4.0	2.0	4.0	5.0	4.0	4.0	4.0	2.0	5.0	2.0	1.3640776699029118	1.0	1.0	1	0	0	1	1	0	1	0	1	0	4.0	3.0	1.0	2.0	3.0	3.0
129	5.0	4.0	5.0	3.0	1.0	2.0	2.0	4.0	5.0	2.0	2.0	2.0	3.0	4.0	3.0	4.0	3.0	1.0	1.0	5.0	1.0	1.0	4.0	5.0	2.0	2.0	5.0	5.0	5.0	2.0	2.0	4.0	3.0	2.0	1.0	1.0	4.0	2.0	1.0	5.0	4.0	3.0	2.0	3.0	5.0	2.0	1.0	3.0	5.0	3.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	5.0	3.0	1.0	5.0	1.0	5.0	2.0	4.0	4.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	3.0	2.0	3.0	4.0	1.0	2.0	5.0	4.0	3.0	3.0	5.0	2.0	2.0	1.0	3.0	5.0	4.0	5.0	2.0	1.0	2.0	5.0	5.0	2.0	3.0	3.0	2.0	5.0	3.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	5.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	2.666666666666666	2.941747572815533	2.848998459167948	1.4	1	0	0	1	1	0	0	1	0	1	1.0	2.0	3.0	2.0	3.0	3.0
337	5.0	3.0	5.0	1.0	2.0	3.0	2.0	3.0	3.0	1.0	1.0	5.0	2.0	2.0	1.0	2.0	1.0	5.0	3.0	5.0	2.0	2.0	5.0	1.0	2.0	5.0	5.0	5.0	5.0	3.0	4.0	3.0	3.0	4.0	4.0	5.0	3.0	3.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	5.0	1.0	3.0	5.0	2.0	1.0	1.0	1.0	5.0	4.0	4.0	1.0	5.0	2.0	5.0	5.0	5.0	3.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	2.0	4.0	3.0	3.0	1.0	1.0	5.0	3.0	5.0	5.0	1.0	5.0	5.0	2.0	5.0	2.0	1.0	1.0	3.0	1.0	1.0	5.0	5.0	5.0	2.0	5.0	5.0	4.0	5.0	4.0	2.0	5.0	1.0	1.0	5.0	5.0	3.0	5.0	1.0	3.0	5.0	5.0	5.0	5.0	1.0	1.0	5.0	4.0	5.0	5.0	1.0	5.0	5.0	1.0	1.0	1.0	1.0	3.0	4.0	3.0	4.0	2.0	1.666666666666666	3.4271844660194155	2.9260400616332793	1.8	0	1	0	1	1	0	1	0	0	1	2.0	3.0	1.0	1.0	2.0	3.0
287	5.0	3.0	3.0	1.0	1.0	3.0	2.0	4.0	4.0	2.0	4.0	4.0	1.0	3.0	3.0	4.0	2.0	3.0	3.0	5.0	3.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0	3.0	2.0	2.0	4.0	3.0	3.0	1.0	1.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	1.0	3.0	4.0	2.0	2.0	4.0	3.0	3.0	5.0	2.0	4.0	2.0	2.0	3.0	3.0	5.0	5.0	2.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	2.0	2.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	4.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	5.0	2.0	3.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	2.333333333333333	3.1844660194174743	1.462249614791987	1.4	1	0	0	1	0	1	1	0	0	1	3.0	2.0	2.0	3.0	2.0	3.0
962	5.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	5.0	5.0	5.0	1.0	4.0	4.0	4.0	2.0	3.0	2.0	3.0	5.0	4.0	4.0	5.0	1.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	2.0	3.0	5.0	5.0	4.0	3.0	2.0	4.0	3.0	5.0	4.0	3.0	3.0	2.0	4.0	5.0	2.0	5.0	2.0	4.0	1.0	5.0	4.0	2.0	1.0	2.0	5.0	4.0	5.0	2.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0	4.0	4.0	1.0	5.0	4.0	2.0	1.0	4.0	3.0	3.0	3.0	1.0	2.0	3.0	4.0	5.0	2.0	3.0	3.0	2.0	2.0	4.0	1.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	4.0	4.0	3.0	1.0	3.0	3.0	3.0	2.0	5.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	2.0	1.0	2.0	2.0	3.0	3.0	2.0	4.0339805825242685	2.5408320493066237	1.4	1	0	0	1	1	0	0	1	0	1	1.0	1.0	3.0	4.0	3.0	3.0
908	5.0	4.0	4.0	2.0	1.0	1.0	1.0	4.0	3.0	2.0	4.0	3.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	2.0	4.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	4.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	4.0	2.0	3.0	2.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0	1.0	3.0	4.0	4.0	3.0	2.0	4.0	2.83	5.0	1.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0	1.0	4.0	3.0	2.0	4.0	2.0	2.0	4.0	2.0	3.0	4.0	3.0	2.0	4.0	3.0	2.0	3.0	4.0	2.0	3.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0	3.0	2.0	4.0	2.0	3.0	2.0	4.0	3.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	4.0	3.0	2.0	3.0	4.0	3.0	2.0	3.333333333333333	1.0	1.3081664098613244	1.4	0	1	0	1	1	0	1	0	0	1	4.0	2.0	2.0	2.0	2.0	3.0
661	5.0	4.0	3.0	2.0	2.0	1.0	3.0	4.0	4.0	1.0	1.0	3.0	4.0	1.0	3.0	1.0	1.0	2.0	2.0	4.0	2.0	3.0	5.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	3.0	3.0	2.0	1.0	4.0	2.0	4.0	3.0	4.0	2.0	1.0	3.0	1.0	4.0	3.0	1.0	3.0	2.0	4.0	4.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0	4.0	3.0	4.0	5.0	2.0	5.0	1.0	3.0	3.0	3.0	4.0	5.0	3.0	1.0	4.0	5.0	3.0	1.0	3.0	1.0	1.0	2.0	3.0	5.0	4.0	2.0	5.0	3.0	1.0	4.0	1.0	5.0	2.0	2.0	2.0	1.0	5.0	5.0	3.0	2.0	5.0	3.0	2.0	5.0	3.0	2.0	4.0	3.0	4.0	5.0	3.0	5.0	3.0	4.0	5.0	2.0	4.0	1.0	5.0	4.0	2.0	4.0	3.0	2.0	3.0	1.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	3.0	3.0	1.0	3.0	3.0	1.0	1.0770416024653313	1.4	1	0	0	1	0	1	1	0	1	0	4.0	3.0	2.0	3.0	2.0	3.0
382	5.0	3.0	4.0	3.0	4.0	2.0	2.0	5.0	1.0	1.0	1.0	4.0	2.0	1.0	2.0	2.0	5.0	4.0	1.0	5.0	4.0	2.0	5.0	5.0	2.0	4.0	5.0	5.0	4.0	2.0	4.0	4.0	2.0	2.0	1.0	1.0	5.0	4.0	1.0	5.0	1.0	2.0	2.0	4.0	4.0	2.0	5.0	2.0	1.0	4.0	5.0	1.0	2.0	3.38989898989899	5.0	1.0	5.0	5.0	2.0	2.0	5.0	4.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	3.0	2.0	3.0	4.0	3.0	4.0	3.0	5.0	5.0	5.0	2.0	1.0	1.0	1.0	5.0	5.0	1.0	2.0	5.0	5.0	5.0	2.0	5.0	5.0	3.0	2.0	4.0	2.0	5.0	2.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	3.0	5.0	5.0	5.0	4.0	4.0	5.0	2.0	5.0	1.0	5.0	5.0	4.0	2.0	2.0	5.0	4.0	4.0	5.0	5.0	5.0	3.0	1.0	1.0	1.0	1	0	0	1	0	1	0	1	1	0	4.0	2.0	1.0	2.0	2.0	3.0
951	5.0	4.0	3.0	1.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	1.0	1.0	1.0	2.0	5.0	2.0	2.0	3.0	3.4900199600798403	4.0	4.0	3.0	4.0	4.0	5.0	5.0	3.0	2.0	2.0	2.0	3.0	4.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	3.0	5.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	4.0	4.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	4.0	3.0	3.0	3.0	5.0	2.0	1.0	5.0	1.0	1.0	4.0	1.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	2.0	4.0	2.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	1.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	4.0	2.0	3.0	3.2927072927072927	3.0	4.0	2.0	3.0	1.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	2.666666666666666	2.941747572815533	3.4653312788905977	1.8	0	1	0	1	1	0	1	0	1	0	3.0	3.0	1.0	1.0	1.0	5.0
675	5.0	4.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	5.0	2.0	2.0	2.0	5.0	1.0	2.0	2.0	3.0	1.0	2.0	3.0	4.0	5.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	5.0	2.0	3.0	1.0	4.0	1.0	1.0	1.0	5.0	5.0	2.0	4.0	3.0	3.0	5.0	5.0	2.0	3.0	1.0	2.0	2.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	2.0	1.0	2.0	1.0	2.0	3.0	3.0	3.0	4.0	4.0	2.0	2.0	5.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	1.0	2.0	2.0	3.7422577422577423	3.0	4.0	4.0	3.0	2.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	4.0	4.0	1.0	2.0	4.0	2.0	3.0	3.0	3.0	2.0	2.0	4.0	4.0	2.0	3.0	3.0	1.0	3.0	4.0	2.0	2.0	4.0	2.0	4.0	2.666666666666666	1.0	1.3081664098613244	1.8	1	0	0	1	1	0	1	0	0	1	1.0	2.0	2.0	2.0	1.0	3.0
254	5.0	3.0	5.0	3.0	2.0	2.0	5.0	5.0	3.0	1.0	1.0	4.0	2.0	1.0	5.0	2.0	5.0	3.0	2.0	5.0	1.0	2.0	5.0	5.0	1.0	5.0	5.0	2.0	3.0	1.0	4.0	2.0	4.0	3.0	2.0	1.0	5.0	3.0	4.0	1.0	1.0	2.0	1.0	2.0	5.0	3.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	3.0	5.0	5.0	1.0	2.0	5.0	1.0	5.0	1.0	1.0	1.0	2.0	5.0	4.0	3.0	1.0	1.0	1.0	4.0	2.0	5.0	5.0	1.0	3.0	1.0	5.0	4.0	1.0	5.0	3.0	1.0	1.0	3.0	5.0	4.0	5.0	1.0	1.0	5.0	5.0	5.0	5.0	4.0	5.0	2.0	4.0	3.0	1.0	5.0	3.0	5.0	3.0	4.0	3.0	3.0	3.0	5.0	2.0	3.0	5.0	2.0	1.0	5.0	3.0	5.0	3.0	5.0	3.0	1.0	5.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	1.0	3.0	3.666666666666666	2.092233009708739	1.6163328197226496	1.8	1	0	0	1	1	0	0	1	0	1	4.0	2.0	3.0	3.0	2.0	3.0
417	5.0	5.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	4.0	5.0	1.0	5.0	1.0	4.0	4.0	1.0	1.0	2.0	5.0	5.0	5.0	3.0	1.0	3.0	4.0	1.0	1.0	3.0	2.0	4.0	4.0	4.0	4.0	5.0	3.0	5.0	5.0	2.0	3.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	4.0	4.0	4.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0	1.0	4.0	3.0	5.0	4.0	5.0	1.0	1.0	2.0	4.0	4.0	2.0	3.0	5.0	2.0	3.0	2.0	1.0	4.0	1.0	2.0	4.0	1.0	4.0	4.0	3.0	3.0	1.0	2.0	5.0	2.0	1.0	2.0	5.0	4.0	2.0	1.0	5.0	4.0	5.0	5.0	3.0	1.0	2.0	2.0	2.0	3.0	4.0	4.0	5.0	3.0	2.0	2.0	2.0	3.0	4.0	3.0	1.0	4.0	1.0	3.0	4.0	2.0	5.0	1.0	1.0	5.0	1.0	3.0	1.0	2.0	1.0	5.0	5.0	2.0	3.0	4.0	2.0	3.1844660194174743	1.693374422187981	1.4	0	1	0	1	1	0	0	1	0	1	4.0	3.0	3.0	3.0	1.0	3.0
211	5.0	4.0	5.0	1.0	2.0	2.0	5.0	5.0	5.0	1.0	1.0	5.0	4.0	4.0	5.0	2.0	5.0	4.0	1.0	5.0	2.0	5.0	5.0	5.0	3.0	3.0	5.0	1.0	3.0	2.0	5.0	1.0	3.0	2.0	1.0	1.0	5.0	5.0	4.0	1.0	1.0	3.0	2.0	5.0	1.0	1.0	3.0	1.0	1.0	3.0	5.0	1.0	1.0	3.0	5.0	1.0	5.0	5.0	1.0	4.0	5.0	3.0	4.0	1.0	2.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	3.0	5.0	3.0	3.0	5.0	5.0	5.0	3.0	5.0	5.0	1.0	5.0	3.0	5.0	5.0	5.0	3.0	1.0	2.0	1.0	2.0	3.0	3.0	3.0	5.0	4.0	1.0	1.0	5.0	2.0	4.0	3.0	5.0	4.0	4.0	4.0	3.0	5.0	5.0	5.0	2.0	1.0	3.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	4.0	1.0	2.0	5.0	4.0	5.0	4.0	3.0	2.0	3.0	2.699029126213592	1.3081664098613244	1.4	1	0	0	1	1	0	0	1	0	1	2.0	2.0	1.0	4.0	2.0	3.0
384	5.0	4.0	3.0	1.0	1.0	2.0	3.0	3.0	5.0	5.0	3.0	4.0	4.0	4.0	4.0	5.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	4.0	4.0	2.0	1.0	1.0	2.0	5.0	1.0	5.0	1.0	5.0	1.0	1.0	4.0	3.0	5.0	2.0	5.0	3.0	2.0	1.0	4.0	3.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	5.0	2.0	4.0	5.0	1.0	1.0	2.0	4.0	2.0	2.0	5.0	5.0	3.0	3.0	4.0	5.0	3.0	3.0	4.0	5.0	3.0	3.0	4.0	4.0	4.0	2.0	4.0	3.0	1.0	2.6082164328657313	3.0	1.0	4.0	5.0	1.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	2.0	1.0	4.0	2.0	3.0	4.0	5.0	4.0	5.0	5.0	3.0	4.0	3.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	2.333333333333333	1.9708737864077683	1.5392912172573183	1.4	1	0	0	1	1	0	1	0	0	1	3.0	2.0	1.0	2.0	2.0	3.0
405	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	2.0	4.0	2.0	4.0	3.0	3.0	3.0	2.0	3.0	4.0	1.0	1.0	4.0	4.0	1.0	3.0	5.0	4.0	4.0	3.0	3.0	5.0	4.0	5.0	2.0	3.0	4.0	2.0	4.0	3.0	2.0	4.0	5.0	5.0	2.0	4.0	2.0	3.0	5.0	5.0	2.0	2.0	3.0	1.0	3.0	2.0	2.0	4.0	2.0	3.0	5.0	1.0	3.0	1.0	2.0	2.0	5.0	3.0	4.0	3.0	2.0	4.0	2.0	3.0	4.0	2.0	5.0	4.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	2.0	2.0	5.0	5.0	2.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	4.0	3.0	2.0	5.0	4.0	3.0	5.0	3.0	5.0	2.0	4.0	4.0	3.0	5.0	3.0	5.0	2.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	5.0	5.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	2.666666666666666	1.3640776699029118	2.187535685513831	1.4	1	0	1	0	1	0	1	0	1	0	2.0	2.0	1.0	2.0	2.0	3.0
99	5.0	3.0	4.0	1.0	1.0	2.0	2.0	4.0	2.0	1.0	3.0	2.0	4.0	1.0	2.0	1.0	4.0	1.0	1.0	3.0	2.0	1.0	5.0	4.0	2.0	1.0	4.0	3.0	5.0	1.0	3.0	3.0	4.0	1.0	5.0	5.0	5.0	1.0	1.0	3.0	5.0	3.0	5.0	4.0	1.0	1.0	2.0	2.0	2.0	5.0	3.0	1.0	1.0	4.0	2.0	1.0	1.0	5.0	3.0	3.0	3.6666666666666665	1.0	4.0	2.0	2.0	3.0	3.0	5.0	2.0	1.0	2.0	2.0	4.0	3.0	3.0	4.0	5.0	2.0	4.0	4.0	5.0	5.0	2.0	2.0	2.0	2.0	1.0	4.0	4.0	4.0	5.0	1.0	1.0	3.0	5.0	5.0	3.0	2.0	4.0	2.0	3.0	3.0	1.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	3.0	3.0	4.0	4.0	2.0	5.0	4.0	3.0	3.0	4.0	3.0	2.0	2.0	4.0	5.0	4.0	4.0	2.0	2.0	2.0	3.0	4.0	2.0	1.0	1.0	1.4	1	0	1	0	1	0	1	0	0	1	1.0	2.0	2.0	3.0	3.0	3.0
843	5.0	3.0	5.0	2.0	2.0	3.0	3.0	4.0	2.0	1.0	1.0	4.0	2.0	4.0	2.0	2.0	3.0	5.0	3.0	5.0	3.0	3.0	5.0	5.0	5.0	2.0	2.0	4.0	4.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	5.0	4.0	3.0	1.0	1.0	3.0	2.0	5.0	2.0	1.0	3.0	2.0	2.0	3.0	5.0	2.0	1.0	2.0	2.0	2.0	1.0	5.0	2.0	2.0	5.0	2.0	5.0	5.0	2.0	2.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	5.0	5.0	3.0	3.0	5.0	4.0	2.0	5.0	3.0	2.0	2.0	2.0	3.0	4.0	3.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	3.0	2.0	2.0	2.0	4.0	4.0	3.0	2.0	4.0	2.0	5.0	4.0	3.0	3.0	5.0	5.0	4.0	4.0	3.0	1.0	3.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.666666666666666	2.092233009708739	1.231124807395994	2.6	1	0	0	1	1	0	1	0	0	1	3.0	2.0	2.0	2.0	2.0	3.0
